T: 1.41, temp: 25.7979, pressure: 1003.71
T: 131.4, temp: 18.7916, pressure: 1003.59
T: 132.41, temp: 18.7793, pressure: 1003.57
T: 133.41, temp: 18.7668, pressure: 1003.58
T: 134.47, temp: 18.7545, pressure: 1003.59
T: 135.47, temp: 18.752, pressure: 1003.61
T: 136.73, temp: 18.7248, pressure: 1003.63
T: 137.79, temp: 18.71, pressure: 1003.63
T: 139.04, temp: 18.6951, pressure: 1003.65
T: 140.13, temp: 18.6853, pressure: 1003.63
T: 141.44, temp: 18.6729, pressure: 1003.66
T: 142.46, temp: 18.668, pressure: 1003.67
T: 143.46, temp: 18.6557, pressure: 1003.64
T: 144.46, temp: 18.6457, pressure: 1003.65
T: 145.46, temp: 18.6334, pressure: 1003.67
T: 146.5, temp: 18.6186, pressure: 1003.66
T: 147.7, temp: 18.6062, pressure: 1003.68
T: 148.76, temp: 18.5939, pressure: 1003.64
T: 150.41, temp: 18.5766, pressure: 1003.65
T: 151.47, temp: 18.5691, pressure: 1003.61
T: 152.71, temp: 18.5592, pressure: 1003.58
T: 153.72, temp: 18.5443, pressure: 1003.67
T: 155.41, temp: 18.5297, pressure: 1003.64
T: 156.47, temp: 18.5172, pressure: 1003.62
T: 157.5, temp: 18.5074, pressure: 1003.63
T: 158.72, temp: 18.4975, pressure: 1003.61
T: 159.89, temp: 18.4926, pressure: 1003.62
T: 161.41, temp: 18.4752, pressure: 1003.58
T: 162.41, temp: 18.4703, pressure: 1003.62
T: 163.41, temp: 18.458, pressure: 1003.63
T: 164.47, temp: 18.458, pressure: 1003.63
T: 165.47, temp: 18.4455, pressure: 1003.63
T: 166.47, temp: 18.4406, pressure: 1003.63
T: 167.47, temp: 18.4283, pressure: 1003.61
T: 168.71, temp: 18.4234, pressure: 1003.64
T: 170.41, temp: 18.3986, pressure: 1003.62
T: 171.47, temp: 18.3912, pressure: 1003.63
T: 172.52, temp: 18.3812, pressure: 1003.64
T: 173.71, temp: 18.3689, pressure: 1003.61
T: 174.89, temp: 18.3641, pressure: 1003.62
T: 176.41, temp: 18.3492, pressure: 1003.61
T: 177.47, temp: 18.3467, pressure: 1003.6
T: 178.47, temp: 18.3443, pressure: 1003.62
T: 179.51, temp: 18.3393, pressure: 1003.65
T: 180.71, temp: 18.327, pressure: 1003.6
T: 181.75, temp: 18.317, pressure: 1003.63
T: 182.79, temp: 18.3072, pressure: 1003.61
T: 184.05, temp: 18.3023, pressure: 1003.61
T: 185.4, temp: 18.2924, pressure: 1003.64
T: 186.46, temp: 18.2875, pressure: 1003.6
T: 187.49, temp: 18.2801, pressure: 1003.64
T: 188.71, temp: 18.2775, pressure: 1003.63
T: 189.89, temp: 18.2652, pressure: 1003.62
T: 191.41, temp: 18.2627, pressure: 1003.66
T: 192.41, temp: 18.2478, pressure: 1003.6
T: 193.41, temp: 18.2404, pressure: 1003.61
T: 194.46, temp: 18.2355, pressure: 1003.62
T: 195.47, temp: 18.2281, pressure: 1003.65
T: 196.47, temp: 18.2307, pressure: 1003.6
T: 197.71, temp: 18.2158, pressure: 1003.62
T: 198.72, temp: 18.2207, pressure: 1003.64
T: 200.41, temp: 18.2084, pressure: 1003.62
T: 201.47, temp: 18.1959, pressure: 1003.67
T: 202.51, temp: 18.1936, pressure: 1003.61
T: 203.72, temp: 18.191, pressure: 1003.61
T: 204.89, temp: 18.1812, pressure: 1003.62
T: 206.4, temp: 18.1738, pressure: 1003.61
T: 207.46, temp: 18.1664, pressure: 1003.62
T: 208.46, temp: 18.1639, pressure: 1003.65
T: 209.51, temp: 18.1613, pressure: 1003.67
T: 210.7, temp: 18.1613, pressure: 1003.59
T: 211.74, temp: 18.1539, pressure: 1003.65
T: 212.78, temp: 18.1516, pressure: 1003.67
T: 214.07, temp: 18.1342, pressure: 1003.65
T: 215.41, temp: 18.1268, pressure: 1003.63
T: 216.47, temp: 18.1293, pressure: 1003.66
T: 217.49, temp: 18.1144, pressure: 1003.66
T: 218.72, temp: 18.1219, pressure: 1003.59
T: 219.9, temp: 18.0996, pressure: 1003.64
T: 221.41, temp: 18.0922, pressure: 1003.63
T: 222.47, temp: 18.0947, pressure: 1003.68
T: 223.48, temp: 18.0848, pressure: 1003.65
T: 224.52, temp: 18.0873, pressure: 1003.6
T: 225.71, temp: 18.0848, pressure: 1003.65
T: 226.75, temp: 18.0773, pressure: 1003.64
T: 227.77, temp: 18.0676, pressure: 1003.68
T: 228.78, temp: 18.0676, pressure: 1003.68
T: 230.41, temp: 18.0576, pressure: 1003.65
T: 231.46, temp: 18.0551, pressure: 1003.63
T: 232.5, temp: 18.0527, pressure: 1003.65
T: 233.71, temp: 18.0502, pressure: 1003.64
T: 234.9, temp: 18.0428, pressure: 1003.65
T: 236.41, temp: 18.0402, pressure: 1003.63
T: 237.47, temp: 18.0379, pressure: 1003.65
T: 238.47, temp: 18.0279, pressure: 1003.64
T: 239.52, temp: 18.023, pressure: 1003.65
T: 240.72, temp: 18.023, pressure: 1003.67
T: 241.73, temp: 18.0131, pressure: 1003.66
T: 242.78, temp: 18.0107, pressure: 1003.69
T: 244.07, temp: 18.0033, pressure: 1003.66
T: 245.41, temp: 18.0033, pressure: 1003.65
T: 246.48, temp: 17.9982, pressure: 1003.61
T: 247.49, temp: 17.9934, pressure: 1003.62
T: 248.71, temp: 17.9859, pressure: 1003.6
T: 249.89, temp: 17.9834, pressure: 1003.65
T: 251.4, temp: 17.981, pressure: 1003.63
T: 252.4, temp: 17.9711, pressure: 1003.58
T: 253.4, temp: 17.9711, pressure: 1003.62
T: 254.47, temp: 17.9637, pressure: 1003.61
T: 255.47, temp: 17.9637, pressure: 1003.61
T: 256.47, temp: 17.9662, pressure: 1003.61
T: 257.71, temp: 17.9588, pressure: 1003.62
T: 258.77, temp: 17.9539, pressure: 1003.62
T: 260.41, temp: 17.9514, pressure: 1003.62
T: 261.42, temp: 17.9514, pressure: 1003.59
T: 262.44, temp: 17.9465, pressure: 1003.59
T: 263.47, temp: 17.9465, pressure: 1003.6
T: 264.47, temp: 17.9439, pressure: 1003.63
T: 265.47, temp: 17.9439, pressure: 1003.65
T: 266.71, temp: 17.9316, pressure: 1003.6
T: 267.75, temp: 17.9291, pressure: 1003.64
T: 268.79, temp: 17.9242, pressure: 1003.62
T: 269.89, temp: 17.9242, pressure: 1003.63
T: 271.41, temp: 17.9217, pressure: 1003.63
T: 272.47, temp: 17.9191, pressure: 1003.62
T: 273.47, temp: 17.9094, pressure: 1003.64
T: 274.52, temp: 17.9094, pressure: 1003.63
T: 275.72, temp: 17.9043, pressure: 1003.62
T: 276.73, temp: 17.9068, pressure: 1003.63
T: 277.77, temp: 17.9094, pressure: 1003.66
T: 278.78, temp: 17.9019, pressure: 1003.62
T: 280.41, temp: 17.8969, pressure: 1003.61
T: 281.47, temp: 17.8871, pressure: 1003.61
T: 282.49, temp: 17.8871, pressure: 1003.64
T: 283.72, temp: 17.8896, pressure: 1003.59
T: 284.9, temp: 17.8822, pressure: 1003.63
T: 286.41, temp: 17.8822, pressure: 1003.64
T: 287.47, temp: 17.8797, pressure: 1003.61
T: 288.47, temp: 17.8797, pressure: 1003.65
T: 289.52, temp: 17.8748, pressure: 1003.62
T: 290.73, temp: 17.8697, pressure: 1003.64
T: 291.74, temp: 17.8623, pressure: 1003.66
T: 292.77, temp: 17.8648, pressure: 1003.65
T: 293.77, temp: 17.8674, pressure: 1003.66
T: 295.41, temp: 17.8574, pressure: 1003.66
T: 296.47, temp: 17.8574, pressure: 1003.63
T: 297.51, temp: 17.8525, pressure: 1003.64
T: 298.71, temp: 17.85, pressure: 1003.62
T: 299.89, temp: 17.8475, pressure: 1003.66
T: 301.41, temp: 17.8475, pressure: 1003.63
T: 302.41, temp: 17.8475, pressure: 1003.64
T: 303.47, temp: 17.85, pressure: 1003.63
T: 304.53, temp: 17.8426, pressure: 1003.65
T: 305.71, temp: 17.84, pressure: 1003.63
T: 306.73, temp: 17.8377, pressure: 1003.66
T: 307.79, temp: 17.8303, pressure: 1003.66
T: 308.8, temp: 17.8352, pressure: 1003.63
T: 310.41, temp: 17.8277, pressure: 1003.61
T: 311.47, temp: 17.8303, pressure: 1003.63
T: 312.49, temp: 17.8277, pressure: 1003.63
T: 313.71, temp: 17.8254, pressure: 1003.62
T: 314.89, temp: 17.8277, pressure: 1003.59
T: 316.4, temp: 17.8203, pressure: 1003.64
T: 317.46, temp: 17.8129, pressure: 1003.62
T: 318.71, temp: 17.8129, pressure: 1003.64
T: 320.41, temp: 17.8154, pressure: 1003.63
T: 321.47, temp: 17.808, pressure: 1003.64
T: 322.51, temp: 17.8105, pressure: 1003.63
T: 323.72, temp: 17.808, pressure: 1003.64
T: 324.88, temp: 17.8031, pressure: 1003.6
T: 326.42, temp: 17.8031, pressure: 1003.62
T: 327.48, temp: 17.8031, pressure: 1003.62
T: 328.48, temp: 17.8006, pressure: 1003.62
T: 329.53, temp: 17.8006, pressure: 1003.63
T: 330.73, temp: 17.7906, pressure: 1003.63
T: 331.74, temp: 17.7957, pressure: 1003.64
T: 332.78, temp: 17.798, pressure: 1003.6
T: 334.07, temp: 17.7906, pressure: 1003.61
T: 335.41, temp: 17.7832, pressure: 1003.61
T: 336.47, temp: 17.7906, pressure: 1003.62
T: 337.49, temp: 17.7906, pressure: 1003.6
T: 338.72, temp: 17.776, pressure: 1003.62
T: 339.89, temp: 17.766, pressure: 1003.62
T: 341.41, temp: 17.7709, pressure: 1003.6
T: 342.47, temp: 17.7783, pressure: 1003.59
T: 343.71, temp: 17.7709, pressure: 1003.62
T: 345.42, temp: 17.7611, pressure: 1003.61
T: 346.42, temp: 17.766, pressure: 1003.6
T: 347.45, temp: 17.7635, pressure: 1003.58
T: 348.47, temp: 17.7635, pressure: 1003.61
T: 349.48, temp: 17.766, pressure: 1003.6
T: 350.48, temp: 17.7537, pressure: 1003.63
T: 351.72, temp: 17.7586, pressure: 1003.65
T: 352.76, temp: 17.7512, pressure: 1003.64
T: 353.8, temp: 17.7561, pressure: 1003.62
T: 354.88, temp: 17.7537, pressure: 1003.63
T: 356.41, temp: 17.7486, pressure: 1003.64
T: 357.41, temp: 17.7537, pressure: 1003.61
T: 358.47, temp: 17.7537, pressure: 1003.59
T: 359.52, temp: 17.7537, pressure: 1003.61
T: 360.72, temp: 17.7463, pressure: 1003.61
T: 361.74, temp: 17.7437, pressure: 1003.63
T: 362.79, temp: 17.7437, pressure: 1003.64
T: 364.09, temp: 17.7363, pressure: 1003.6
T: 365.42, temp: 17.7389, pressure: 1003.59
T: 366.47, temp: 17.7389, pressure: 1003.62
T: 367.51, temp: 17.7412, pressure: 1003.59
T: 368.73, temp: 17.7314, pressure: 1003.6
T: 369.9, temp: 17.7338, pressure: 1003.6
T: 371.41, temp: 17.7289, pressure: 1003.62
T: 372.42, temp: 17.7338, pressure: 1003.62
T: 373.42, temp: 17.7314, pressure: 1003.59
T: 374.47, temp: 17.7289, pressure: 1003.65
T: 375.48, temp: 17.724, pressure: 1003.62
T: 376.76, temp: 17.724, pressure: 1003.64
T: 377.8, temp: 17.7264, pressure: 1003.63
T: 379.06, temp: 17.7215, pressure: 1003.6
T: 380.42, temp: 17.7215, pressure: 1003.58
T: 381.47, temp: 17.7215, pressure: 1003.58
T: 382.51, temp: 17.7215, pressure: 1003.61
T: 383.72, temp: 17.7166, pressure: 1003.58
T: 384.9, temp: 17.7215, pressure: 1003.61
T: 386.42, temp: 17.7141, pressure: 1003.59
T: 387.42, temp: 17.7215, pressure: 1003.62
T: 388.42, temp: 17.7166, pressure: 1003.61
T: 389.46, temp: 17.7117, pressure: 1003.64
T: 390.48, temp: 17.7215, pressure: 1003.64
T: 391.75, temp: 17.7117, pressure: 1003.62
T: 392.8, temp: 17.7141, pressure: 1003.61
T: 394.07, temp: 17.7117, pressure: 1003.62
T: 395.42, temp: 17.7117, pressure: 1003.63
T: 396.47, temp: 17.7117, pressure: 1003.62
T: 397.49, temp: 17.7066, pressure: 1003.55
T: 398.72, temp: 17.7092, pressure: 1003.6
T: 399.91, temp: 17.7092, pressure: 1003.59
T: 401.4, temp: 17.7018, pressure: 1003.57
T: 402.42, temp: 17.7043, pressure: 1003.61
T: 403.47, temp: 17.7018, pressure: 1003.62
T: 404.52, temp: 17.7018, pressure: 1003.61
T: 405.73, temp: 17.7018, pressure: 1003.59
T: 406.77, temp: 17.6943, pressure: 1003.61
T: 407.79, temp: 17.6969, pressure: 1003.59
T: 408.79, temp: 17.6943, pressure: 1003.58
T: 410.42, temp: 17.6943, pressure: 1003.62
T: 411.48, temp: 17.6969, pressure: 1003.6
T: 412.51, temp: 17.6943, pressure: 1003.57
T: 413.73, temp: 17.6943, pressure: 1003.6
T: 414.92, temp: 17.6918, pressure: 1003.61
T: 416.42, temp: 17.6869, pressure: 1003.62
T: 417.47, temp: 17.6918, pressure: 1003.59
T: 418.72, temp: 17.6895, pressure: 1003.61
T: 420.41, temp: 17.6918, pressure: 1003.62
T: 421.41, temp: 17.6869, pressure: 1003.61
T: 422.42, temp: 17.6844, pressure: 1003.58
T: 423.47, temp: 17.682, pressure: 1003.59
T: 424.78, temp: 17.6869, pressure: 1003.6
T: 425.79, temp: 17.6869, pressure: 1003.58
T: 426.79, temp: 17.6869, pressure: 1003.59
T: 427.81, temp: 17.6895, pressure: 1003.57
T: 429.04, temp: 17.6769, pressure: 1003.59
T: 430.21, temp: 17.6721, pressure: 1003.61
T: 431.41, temp: 17.6795, pressure: 1003.59
T: 432.42, temp: 17.6844, pressure: 1003.57
T: 433.48, temp: 17.6869, pressure: 1003.6
T: 434.53, temp: 17.6769, pressure: 1003.57
T: 435.74, temp: 17.6795, pressure: 1003.58
T: 436.76, temp: 17.6869, pressure: 1003.61
T: 437.79, temp: 17.6769, pressure: 1003.57
T: 438.79, temp: 17.6795, pressure: 1003.61
T: 440.41, temp: 17.6721, pressure: 1003.58
T: 441.47, temp: 17.682, pressure: 1003.58
T: 442.51, temp: 17.6795, pressure: 1003.57
T: 443.72, temp: 17.6795, pressure: 1003.57
T: 444.9, temp: 17.6769, pressure: 1003.59
T: 446.41, temp: 17.6695, pressure: 1003.55
T: 447.42, temp: 17.6721, pressure: 1003.56
T: 448.42, temp: 17.6721, pressure: 1003.58
T: 449.46, temp: 17.6746, pressure: 1003.57
T: 450.48, temp: 17.6721, pressure: 1003.52
T: 451.73, temp: 17.6746, pressure: 1003.56
T: 452.8, temp: 17.6695, pressure: 1003.53
T: 453.8, temp: 17.6695, pressure: 1003.57
T: 455.42, temp: 17.6646, pressure: 1003.58
T: 456.47, temp: 17.6695, pressure: 1003.55
T: 457.52, temp: 17.6598, pressure: 1003.57
T: 458.73, temp: 17.6646, pressure: 1003.56
T: 460.46, temp: 17.6572, pressure: 1003.57
T: 461.47, temp: 17.6623, pressure: 1003.59
T: 462.75, temp: 17.6572, pressure: 1003.57
T: 463.79, temp: 17.6746, pressure: 1003.59
T: 464.88, temp: 17.6598, pressure: 1003.6
T: 466.4, temp: 17.6598, pressure: 1003.64
T: 467.45, temp: 17.6598, pressure: 1003.58
T: 468.48, temp: 17.6623, pressure: 1003.56
T: 469.76, temp: 17.6672, pressure: 1003.59
T: 470.79, temp: 17.6623, pressure: 1003.58
T: 471.8, temp: 17.6549, pressure: 1003.59
T: 472.82, temp: 17.6572, pressure: 1003.59
T: 474.03, temp: 17.6646, pressure: 1003.56
T: 475.21, temp: 17.6623, pressure: 1003.56
T: 476.42, temp: 17.6672, pressure: 1003.6
T: 477.48, temp: 17.6623, pressure: 1003.57
T: 478.72, temp: 17.6598, pressure: 1003.58
T: 480.42, temp: 17.6572, pressure: 1003.59
T: 481.48, temp: 17.6523, pressure: 1003.59
T: 482.5, temp: 17.6572, pressure: 1003.57
T: 483.73, temp: 17.6549, pressure: 1003.55
T: 484.9, temp: 17.6623, pressure: 1003.57
T: 486.42, temp: 17.6523, pressure: 1003.55
T: 487.48, temp: 17.6572, pressure: 1003.55
T: 488.72, temp: 17.6598, pressure: 1003.54
T: 490.42, temp: 17.6498, pressure: 1003.59
T: 491.47, temp: 17.6523, pressure: 1003.59
T: 492.52, temp: 17.6572, pressure: 1003.57
T: 493.73, temp: 17.6523, pressure: 1003.55
T: 494.88, temp: 17.6523, pressure: 1003.58
T: 496.41, temp: 17.6523, pressure: 1003.58
T: 497.42, temp: 17.6572, pressure: 1003.58
T: 498.47, temp: 17.6523, pressure: 1003.53
T: 499.52, temp: 17.6549, pressure: 1003.58
T: 500.73, temp: 17.6523, pressure: 1003.49
T: 501.76, temp: 17.6523, pressure: 1003.54
T: 502.79, temp: 17.6549, pressure: 1003.55
T: 504.07, temp: 17.6523, pressure: 1003.56
T: 505.41, temp: 17.6498, pressure: 1003.58
T: 506.47, temp: 17.6523, pressure: 1003.59
T: 507.5, temp: 17.6523, pressure: 1003.61
T: 508.72, temp: 17.6572, pressure: 1003.59
T: 509.89, temp: 17.6498, pressure: 1003.59
T: 511.41, temp: 17.6523, pressure: 1003.63
T: 512.42, temp: 17.6498, pressure: 1003.61
T: 513.48, temp: 17.6475, pressure: 1003.59
T: 514.49, temp: 17.6449, pressure: 1003.63
T: 515.73, temp: 17.6475, pressure: 1003.6
T: 516.74, temp: 17.6498, pressure: 1003.6
T: 517.8, temp: 17.6475, pressure: 1003.59
T: 518.8, temp: 17.6498, pressure: 1003.57
T: 520.42, temp: 17.6424, pressure: 1003.57
T: 521.47, temp: 17.6449, pressure: 1003.57
T: 522.52, temp: 17.6449, pressure: 1003.55
T: 523.72, temp: 17.6449, pressure: 1003.55
T: 524.89, temp: 17.6475, pressure: 1003.55
T: 526.41, temp: 17.6449, pressure: 1003.57
T: 527.47, temp: 17.6498, pressure: 1003.52
T: 528.48, temp: 17.6475, pressure: 1003.54
T: 529.5, temp: 17.6424, pressure: 1003.56
T: 530.72, temp: 17.6449, pressure: 1003.55
T: 531.76, temp: 17.6424, pressure: 1003.53
T: 532.79, temp: 17.6475, pressure: 1003.55
T: 533.79, temp: 17.6475, pressure: 1003.57
T: 535.42, temp: 17.6449, pressure: 1003.57
T: 536.42, temp: 17.6449, pressure: 1003.55
T: 537.45, temp: 17.6424, pressure: 1003.53
T: 538.48, temp: 17.6498, pressure: 1003.56
T: 539.78, temp: 17.64, pressure: 1003.5
T: 540.79, temp: 17.6475, pressure: 1003.56
T: 541.8, temp: 17.64, pressure: 1003.53
T: 542.81, temp: 17.64, pressure: 1003.56
T: 544.03, temp: 17.64, pressure: 1003.57
T: 545.2, temp: 17.6449, pressure: 1003.57
T: 546.4, temp: 17.6475, pressure: 1003.58
T: 547.41, temp: 17.6424, pressure: 1003.55
T: 548.41, temp: 17.64, pressure: 1003.55
T: 549.48, temp: 17.6424, pressure: 1003.57
T: 550.72, temp: 17.6375, pressure: 1003.52
T: 551.75, temp: 17.6475, pressure: 1003.56
T: 552.79, temp: 17.6449, pressure: 1003.55
T: 554.06, temp: 17.6424, pressure: 1003.52
T: 555.41, temp: 17.6424, pressure: 1003.53
T: 556.42, temp: 17.6449, pressure: 1003.5
T: 557.45, temp: 17.64, pressure: 1003.55
T: 558.48, temp: 17.64, pressure: 1003.55
T: 559.76, temp: 17.6424, pressure: 1003.54
T: 560.79, temp: 17.6424, pressure: 1003.55
T: 561.79, temp: 17.6326, pressure: 1003.56
T: 562.83, temp: 17.6424, pressure: 1003.52
T: 564.05, temp: 17.64, pressure: 1003.55
T: 565.18, temp: 17.6449, pressure: 1003.54
T: 566.41, temp: 17.6475, pressure: 1003.54
T: 567.46, temp: 17.6449, pressure: 1003.53
T: 568.47, temp: 17.6375, pressure: 1003.52
T: 569.52, temp: 17.6475, pressure: 1003.52
T: 570.73, temp: 17.6375, pressure: 1003.49
T: 571.74, temp: 17.6449, pressure: 1003.54
T: 572.79, temp: 17.6449, pressure: 1003.53
T: 573.79, temp: 17.6424, pressure: 1003.5
T: 575.42, temp: 17.6375, pressure: 1003.49
T: 576.47, temp: 17.64, pressure: 1003.46
T: 577.5, temp: 17.6424, pressure: 1003.49
T: 578.74, temp: 17.6326, pressure: 1003.5
T: 579.91, temp: 17.6424, pressure: 1003.52
T: 581.42, temp: 17.64, pressure: 1003.54
T: 582.42, temp: 17.6424, pressure: 1003.52
T: 583.47, temp: 17.6375, pressure: 1003.55
T: 584.52, temp: 17.635, pressure: 1003.54
T: 585.74, temp: 17.635, pressure: 1003.5
T: 586.76, temp: 17.6375, pressure: 1003.51
T: 587.79, temp: 17.635, pressure: 1003.54
T: 588.79, temp: 17.64, pressure: 1003.54
T: 590.42, temp: 17.635, pressure: 1003.51
T: 591.47, temp: 17.6449, pressure: 1003.55
T: 592.51, temp: 17.6449, pressure: 1003.52
T: 593.73, temp: 17.6424, pressure: 1003.52
T: 594.88, temp: 17.6375, pressure: 1003.56
T: 596.41, temp: 17.6424, pressure: 1003.51
T: 597.42, temp: 17.635, pressure: 1003.54
T: 598.47, temp: 17.64, pressure: 1003.57
T: 599.54, temp: 17.64, pressure: 1003.52
T: 600.73, temp: 17.6375, pressure: 1003.57
T: 601.74, temp: 17.6449, pressure: 1003.54
T: 602.8, temp: 17.64, pressure: 1003.53
T: 604.09, temp: 17.6326, pressure: 1003.53
T: 605.42, temp: 17.635, pressure: 1003.53
T: 606.47, temp: 17.635, pressure: 1003.52
T: 607.51, temp: 17.6375, pressure: 1003.52
T: 608.72, temp: 17.6375, pressure: 1003.55
T: 610.47, temp: 17.6375, pressure: 1003.53
T: 611.47, temp: 17.6375, pressure: 1003.56
T: 612.47, temp: 17.64, pressure: 1003.52
T: 613.48, temp: 17.6375, pressure: 1003.52
T: 614.72, temp: 17.635, pressure: 1003.52
T: 615.75, temp: 17.635, pressure: 1003.46
T: 616.78, temp: 17.6326, pressure: 1003.49
T: 617.84, temp: 17.635, pressure: 1003.49
T: 619.03, temp: 17.64, pressure: 1003.5
